id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Heights Anthem,Street Verse,hip-hop,energetic,0.82,93,0.67,0.87,0.08
12,Moonlit Sonata,Clara Voss,classical,calm,0.28,68,0.52,0.22,0.97
13,Drop Zone,Circuit Six,EDM,energetic,0.95,138,0.71,0.93,0.03
14,Dust Road Darling,River Oak,country,romantic,0.57,104,0.70,0.62,0.79
15,Iron Throne,Void Hammer,metal,angry,0.97,168,0.28,0.42,0.04
16,Velvet Rain,Sienna James,R&B,romantic,0.61,88,0.74,0.80,0.38
17,Empty Porch,Miles Hollow,folk,sad,0.33,79,0.39,0.37,0.91
18,Fuego Eterno,Alma Sol,latin,passionate,0.85,128,0.88,0.92,0.16
